epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,133.064,1.06539,3.45637,1.41009,0.49935,0.53814,0.51029,0.31925,1.25075,2.91877,1.72197,0.000236773,0.000236773,0.000236773
2,261.858,1.11694,2.17931,1.43271,0.65821,0.58215,0.63661,0.42101,1.16573,2.24135,1.53504,0.000465373,0.000465373,0.000465373
3,395.163,1.12892,1.84223,1.41832,0.61002,0.6765,0.6252,0.42667,1.12121,2.19084,1.50985,0.000684547,0.000684547,0.000684547
4,523.286,1.12111,1.72104,1.40618,0.70782,0.76929,0.77874,0.54265,1.08618,1.84809,1.48213,0.000671588,0.000671588,0.000671588
5,658.966,1.0685,1.58252,1.37545,0.69587,0.68411,0.71243,0.50379,1.10636,1.80379,1.50192,0.000657451,0.000657451,0.000657451
6,795.547,1.07864,1.45659,1.38773,0.77122,0.7104,0.77479,0.54956,1.05646,1.59474,1.42869,0.000643314,0.000643314,0.000643314
7,961.288,1.01503,1.39245,1.33792,0.81902,0.71551,0.80106,0.54312,1.14183,1.53339,1.52729,0.000629177,0.000629177,0.000629177
8,1110.06,1.00582,1.28457,1.33428,0.80303,0.74691,0.8171,0.58693,1.02659,1.37682,1.41914,0.00061504,0.00061504,0.00061504
9,1254.4,1.0019,1.25445,1.32953,0.84786,0.81078,0.84481,0.60926,1.01229,1.10334,1.41674,0.000600902,0.000600902,0.000600902
10,1397.79,0.97534,1.17162,1.29788,0.83331,0.81901,0.86087,0.62914,0.99064,1.06736,1.40153,0.000586765,0.000586765,0.000586765
11,1525.09,0.95708,1.13482,1.28526,0.84834,0.80687,0.85661,0.64506,0.92421,1.04036,1.31328,0.000572628,0.000572628,0.000572628
12,1656.43,0.94368,1.05402,1.27173,0.8628,0.81315,0.86276,0.64861,0.919,1.01765,1.32284,0.000558491,0.000558491,0.000558491
13,1798.06,0.93678,1.04062,1.27511,0.83443,0.80139,0.83085,0.62494,0.92511,1.03653,1.33049,0.000544354,0.000544354,0.000544354
